modul,einheit,zyklus,domaene,kennzahl,wert,art,quelle,hinweis
M302,Singapore,2025,read,Rangspanne (alle),1–2,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,Singapore,2025,math,Mittelwert,562.9,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Singapore,2025,math,SE (aus 95-%-KI),1.53,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Singapore,2025,math,Rangspanne (alle),2–2,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,Singapore,2025,cps,Mittelwert,563.5,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Singapore,2025,cps,SE (aus 95-%-KI),1.28,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Singapore,2025,cps,Rangspanne (alle),2–4,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302,Singapore,2025,sci,P10,410.6,OFFICIAL_STATLINK,Figure I.2.1,
M302,Singapore,2025,sci,P25,491.2,OFFICIAL_STATLINK,Figure I.2.1,
M302,Singapore,2025,sci,P50,571.4,OFFICIAL_STATLINK,Figure I.2.1,
M302,Singapore,2025,sci,P75,636.2,OFFICIAL_STATLINK,Figure I.2.1,
M302,Singapore,2025,sci,P90,686.6,OFFICIAL_STATLINK,Figure I.2.1,
M302/M301,Singapore,2025,sci,P90−P10,276.0,DERIVED_OFFICIAL,"Figure I.2.1, Differenz",
M302/M301,Singapore,2025,sci,unter Stufe 2 (%),9.9,DERIVED_OFFICIAL,"Figure I.2.3, Summe Stufen <1b–1a",
M302/M301,Singapore,2025,sci,Stufe 5–6 (%),26.1,DERIVED_OFFICIAL,"Figure I.2.3, Summe Stufen 5–6",
M302,Singapore,2022→2025,sci,Veränderung (n. s.),-1.6,OFFICIAL_STATLINK,Table I.2.6,
M302,Singapore,2022→2025,read,Veränderung (sig.),-7.7,OFFICIAL_STATLINK,Table I.2.6,
M302,Singapore,2022→2025,math,Veränderung (sig.),-11.8,OFFICIAL_STATLINK,Table I.2.6,
M302,Singapore,10 Jahre,sci,Dezennaltrend (sig.),7.3,OFFICIAL_STATLINK,Table I.2.9,
M302,Singapore,10 Jahre,read,Dezennaltrend (n. s.),-2.6,OFFICIAL_STATLINK,Table I.2.9,
M302,Singapore,10 Jahre,math,Dezennaltrend (n. s.),0.8,OFFICIAL_STATLINK,Table I.2.9,
M302/M301,Macao (China),2025,sci,Mittelwert,540.8,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Macao (China),2025,sci,SE (aus 95-%-KI),1.02,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Macao (China),2025,sci,Rangspanne (alle),3–5,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,Macao (China),2025,read,Mittelwert,501.1,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Macao (China),2025,read,SE (aus 95-%-KI),1.02,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Macao (China),2025,read,Rangspanne (alle),3–11,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,Macao (China),2025,math,Mittelwert,549.3,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Macao (China),2025,math,SE (aus 95-%-KI),1.28,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Macao (China),2025,math,Rangspanne (alle),3–4,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,Macao (China),2025,cps,Mittelwert,571.9,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Macao (China),2025,cps,SE (aus 95-%-KI),1.02,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Macao (China),2025,cps,Rangspanne (alle),1–1,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302,Macao (China),2025,sci,P10,423.1,OFFICIAL_STATLINK,Figure I.2.1,
M302,Macao (China),2025,sci,P25,484.6,OFFICIAL_STATLINK,Figure I.2.1,
M302,Macao (China),2025,sci,P50,545.8,OFFICIAL_STATLINK,Figure I.2.1,
